Date;21082 - Percent of 90 days past due loans of credit operations outstanding - Total - %;21083 - Percent of 90 days past due loans of credit operations outstanding - Non-financial corporations - Total - %;21084 - Percent of 90 days past due loans of credit operations outstanding - Households - Total - %
03/2011;3.17 ;1.96 ;4.62
04/2011;3.24 ;2.04 ;4.67
05/2011;3.37 ;2.15 ;4.82
06/2011;3.32 ;2.09 ;4.79
07/2011;3.42 ;2.18 ;4.90
08/2011;3.45 ;2.15 ;4.97
09/2011;3.46 ;2.14 ;5.03
10/2011;3.58 ;2.23 ;5.17
11/2011;3.58 ;2.20 ;5.22
12/2011;3.54 ;2.15 ;5.22
01/2012;3.66 ;2.22 ;5.36
02/2012;3.71 ;2.27 ;5.40
03/2012;3.67 ;2.24 ;5.36
04/2012;3.76 ;2.37 ;5.41
05/2012;3.76 ;2.29 ;5.51
06/2012;3.71 ;2.27 ;5.43
07/2012;3.72 ;2.28 ;5.42
08/2012;3.75 ;2.35 ;5.40
09/2012;3.72 ;2.31 ;5.41
10/2012;3.76 ;2.43 ;5.34
11/2012;3.67 ;2.38 ;5.21
12/2012;3.55 ;2.26 ;5.10
01/2013;3.54 ;2.27 ;5.03
02/2013;3.51 ;2.27 ;4.98
03/2013;3.45 ;2.20 ;4.94
04/2013;3.47 ;2.30 ;4.85
05/2013;3.47 ;2.27 ;4.88
06/2013;3.25 ;2.10 ;4.61
07/2013;3.21 ;2.06 ;4.56
08/2013;3.13 ;2.01 ;4.45
09/2013;3.14 ;2.02 ;4.44
10/2013;3.06 ;2.02 ;4.25
11/2013;2.97 ;1.94 ;4.15
12/2013;2.86 ;1.83 ;4.06
01/2014;2.84 ;1.82 ;4.03
02/2014;2.86 ;1.86 ;4.00
03/2014;2.88 ;1.87 ;4.05
04/2014;2.92 ;1.89 ;4.10
05/2014;3.00 ;1.97 ;4.16
06/2014;2.90 ;1.95 ;3.98
07/2014;2.96 ;1.98 ;4.05
08/2014;2.98 ;2.03 ;4.04
09/2014;2.91 ;2.00 ;3.94
10/2014;2.96 ;2.05 ;3.98
11/2014;2.85 ;1.97 ;3.84
12/2014;2.73 ;1.89 ;3.67
01/2015;2.82 ;1.98 ;3.75
02/2015;2.85 ;1.99 ;3.81
03/2015;2.82 ;2.06 ;3.67
04/2015;2.96 ;2.24 ;3.75
05/2015;3.02 ;2.27 ;3.86
06/2015;2.92 ;2.25 ;3.66
07/2015;3.03 ;2.37 ;3.78
08/2015;3.12 ;2.43 ;3.89
09/2015;3.12 ;2.38 ;3.95
10/2015;3.24 ;2.48 ;4.08
11/2015;3.38 ;2.63 ;4.20
12/2015;3.37 ;2.61 ;4.23
01/2016;3.47 ;2.72 ;4.30
02/2016;3.50 ;2.78 ;4.30
03/2016;3.53 ;2.85 ;4.25
04/2016;3.65 ;3.04 ;4.30
05/2016;3.73 ;3.17 ;4.32
06/2016;3.51 ;3.00 ;4.05
07/2016;3.56 ;3.03 ;4.10
08/2016;3.64 ;3.17 ;4.12
09/2016;3.68 ;3.18 ;4.18
10/2016;3.84 ;3.51 ;4.18
11/2016;3.80 ;3.50 ;4.10
12/2016;3.70 ;3.44 ;3.95
01/2017;3.73 ;3.47 ;3.99
02/2017;3.75 ;3.49 ;4.00
03/2017;3.85 ;3.69 ;4.01
04/2017;3.93 ;3.82 ;4.04
05/2017;4.04 ;3.98 ;4.10
06/2017;3.73 ;3.60 ;3.86
07/2017;3.69 ;3.40 ;3.96
08/2017;3.70 ;3.44 ;3.93
09/2017;3.60 ;3.29 ;3.88
10/2017;3.63 ;3.35 ;3.88
11/2017;3.54 ;3.27 ;3.78
12/2017;3.24 ;2.90 ;3.54
01/2018;3.42 ;3.05 ;3.72
02/2018;3.42 ;3.09 ;3.70
03/2018;3.29 ;2.86 ;3.65
04/2018;3.32 ;2.95 ;3.62
05/2018;3.30 ;2.96 ;3.59
06/2018;3.04 ;2.54 ;3.47
07/2018;3.02 ;2.44 ;3.51
08/2018;3.04 ;2.49 ;3.49
09/2018;3.04 ;2.60 ;3.42
10/2018;3.05 ;2.64 ;3.38
11/2018;2.97 ;2.54 ;3.31
12/2018;2.84 ;2.40 ;3.25
01/2019;2.95 ;2.46 ;3.34
Source;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT
